arm,t_s,device,client_ip,client_role,node,blamed_on,server_role,status,latency_ms,resteered_from,exact
baseline,6.811,iot35,10.0.0.35,none,srv3,srv3,sybil,success,30.93,,True
baseline,6.812,iot28,10.0.0.28,none,srv4,srv4,none,success,31.42,,True
baseline,6.82,iot24,10.0.0.24,none,srv8,srv8,onoff,success,42.71,,True
baseline,6.821,iot26,10.0.0.26,none,srv2,srv2,none,success,38.61,,True
baseline,6.827,iot9,10.0.0.9,none,srv1,srv1,grayhole,success,55.87,,True
baseline,6.833,iot4,10.0.0.4,none,srv4,srv4,none,success,58.49,,True
baseline,6.837,iot30,10.0.0.30,none,srv6,srv6,drop,success,44.95,,True
baseline,6.839,iot13,10.0.0.13,none,srv5,srv5,none,success,63.41,,True
baseline,6.844,iot16,10.0.0.16,none,srv8,srv8,onoff,success,44.98,,True
baseline,6.85,iot1,10.0.0.1,none,srv1,srv1,grayhole,success,69.5,,True
baseline,6.851,iot23,10.0.0.23,none,srv7,srv7,none,success,55.6,,True
baseline,6.852,iot3,10.0.0.3,none,srv3,srv3,sybil,success,63.82,,True
baseline,6.862,iot27,10.0.0.27,none,srv3,srv3,sybil,success,65.33,,True
baseline,6.869,iot33,10.0.0.33,none,srv1,srv1,grayhole,success,57.87,,True
baseline,6.876,iot36,10.0.0.36,none,srv4,srv4,none,success,44.62,,True
baseline,6.877,iot29,10.0.0.29,none,srv5,srv5,none,success,43.95,,True
baseline,6.886,iot15,10.0.0.15,none,srv7,srv7,none,success,65.68,,True
baseline,6.908,iot32,10.0.0.32,none,srv8,srv8,onoff,success,50.12,,True
baseline,6.93,iot11,10.0.0.11,none,srv3,srv3,sybil,success,81.58,,True
baseline,6.931,iot6,10.0.0.6,none,srv6,srv6,drop,success,67.31,,True
baseline,6.941,iot19,10.0.0.19,none,srv3,srv3,sybil,success,63.68,,True
baseline,6.952,iot25,10.0.0.25,none,srv1,srv1,grayhole,success,53.93,,True
baseline,6.962,iot10,10.0.0.10,none,srv2,srv2,none,success,61.96,,True
baseline,6.967,iot20,10.0.0.20,none,srv4,srv4,none,success,64.29,,True
baseline,6.98,iot34,10.0.0.34,none,srv2,srv2,none,success,58.41,,True
baseline,6.981,iot37,10.0.0.37,flood,srv5,srv5,none,success,69.31,,True
baseline,6.982,iot31,10.0.0.31,none,srv7,srv7,none,success,64.32,,True
baseline,6.985,iot17,10.0.0.17,none,srv1,srv1,grayhole,success,66.93,,True
baseline,6.986,iot21,10.0.0.21,none,srv5,srv5,none,success,67.79,,True
baseline,6.991,iot40,10.0.0.40,bad_credentials,srv8,srv8,onoff,success,61.78,,True
baseline,7.005,iot22,10.0.0.22,none,srv6,srv6,drop,success,65.76,,True
baseline,7.019,iot39,10.0.0.39,bad_credentials,srv7,srv7,none,success,75.03,,True
baseline,8.737,iot5,10.0.0.5,none,srv5,srv5,none,success,38.95,,True
baseline,8.774,iot14,10.0.0.14,none,srv6,srv6,drop,success,34.56,,True
baseline,8.822,iot8,10.0.0.8,none,srv8,srv8,onoff,success,30.65,,True
baseline,8.843,iot12,10.0.0.12,none,srv4,srv4,none,success,30.43,,True
baseline,8.853,iot18,10.0.0.18,none,srv2,srv2,none,success,30.13,,True
baseline,8.867,iot2,10.0.0.2,none,srv2,srv2,none,success,41.92,,True
baseline,8.869,iot28,10.0.0.28,none,srv4,srv4,none,success,29.64,,True
baseline,8.871,iot35,10.0.0.35,none,srv3,srv3,sybil,success,30.5,,True
baseline,8.891,iot7,10.0.0.7,none,srv7,srv7,none,success,49.92,,True
baseline,8.895,iot26,10.0.0.26,none,srv2,srv2,none,success,39.83,,True
baseline,8.905,iot24,10.0.0.24,none,srv8,srv8,onoff,success,42.36,,True
baseline,8.914,iot30,10.0.0.30,none,srv6,srv6,drop,success,38.12,,True
baseline,8.926,iot16,10.0.0.16,none,srv8,srv8,onoff,success,42.17,,True
baseline,8.934,iot9,10.0.0.9,none,srv1,srv1,grayhole,success,53.98,,True
baseline,8.946,iot4,10.0.0.4,none,srv4,srv4,none,success,60.23,,True
baseline,8.951,iot23,10.0.0.23,none,srv7,srv7,none,success,50.34,,True
baseline,8.954,iot13,10.0.0.13,none,srv5,srv5,none,success,61.69,,True
baseline,8.957,iot36,10.0.0.36,none,srv4,srv4,none,success,56.02,,True
baseline,8.959,iot29,10.0.0.29,none,srv5,srv5,none,success,48.43,,True
baseline,8.966,iot27,10.0.0.27,none,srv3,srv3,sybil,success,48.65,,True
baseline,8.967,iot33,10.0.0.33,none,srv1,srv1,grayhole,success,45.9,,True
baseline,8.97,iot3,10.0.0.3,none,srv3,srv3,sybil,success,67.12,,True
baseline,8.981,iot1,10.0.0.1,none,srv1,srv1,grayhole,success,75.21,,True
baseline,9.0,iot32,10.0.0.32,none,srv8,srv8,onoff,success,45.86,,True
baseline,9.009,iot15,10.0.0.15,none,srv7,srv7,none,success,64.93,,True
baseline,9.072,iot25,10.0.0.25,none,srv1,srv1,grayhole,success,57.94,,True
baseline,9.073,iot19,10.0.0.19,none,srv3,srv3,sybil,success,56.28,,True
baseline,9.077,iot6,10.0.0.6,none,srv6,srv6,drop,success,66.55,,True
baseline,9.078,iot11,10.0.0.11,none,srv3,srv3,sybil,success,69.75,,True
baseline,9.085,iot10,10.0.0.10,none,srv2,srv2,none,success,69.79,,True
baseline,9.087,iot20,10.0.0.20,none,srv4,srv4,none,success,67.97,,True
baseline,9.092,iot34,10.0.0.34,none,srv2,srv2,none,success,70.89,,True
baseline,9.103,iot31,10.0.0.31,none,srv7,srv7,none,success,64.99,,True
baseline,9.104,iot37,10.0.0.37,flood,srv5,srv5,none,success,67.14,,True
baseline,9.11,iot21,10.0.0.21,none,srv5,srv5,none,success,70.08,,True
baseline,9.111,iot40,10.0.0.40,bad_credentials,srv8,srv8,onoff,success,65.52,,True
baseline,9.114,iot17,10.0.0.17,none,srv1,srv1,grayhole,success,70.61,,True
baseline,9.132,iot22,10.0.0.22,none,srv6,srv6,drop,success,73.08,,True
baseline,9.149,iot39,10.0.0.39,bad_credentials,srv7,srv7,none,success,71.67,,True
baseline,10.81,iot5,10.0.0.5,none,srv5,srv5,none,success,39.97,,True
baseline,10.838,iot14,10.0.0.14,none,srv6,srv6,drop,success,35.69,,True
baseline,10.879,iot8,10.0.0.8,none,srv8,srv8,onoff,success,31.62,,True
baseline,10.899,iot12,10.0.0.12,none,srv4,srv4,none,success,31.26,,True
baseline,10.909,iot18,10.0.0.18,none,srv2,srv2,none,success,30.8,,True
baseline,10.925,iot28,10.0.0.28,none,srv4,srv4,none,success,30.73,,True
baseline,10.926,iot35,10.0.0.35,none,srv3,srv3,sybil,success,30.89,,True
baseline,10.948,iot2,10.0.0.2,none,srv2,srv2,none,success,43.12,,True
baseline,10.968,iot26,10.0.0.26,none,srv2,srv2,none,success,38.07,,True
baseline,10.986,iot24,10.0.0.24,none,srv8,srv8,onoff,success,43.85,,True
baseline,10.986,iot30,10.0.0.30,none,srv6,srv6,drop,success,39.58,,True
baseline,10.987,iot7,10.0.0.7,none,srv7,srv7,none,success,50.69,,True
baseline,11.006,iot16,10.0.0.16,none,srv8,srv8,onoff,success,45.66,,True
baseline,11.059,iot9,10.0.0.9,none,srv1,srv1,grayhole,success,83.24,,True
baseline,11.069,iot29,10.0.0.29,none,srv5,srv5,none,success,43.9,,True
baseline,11.07,iot36,10.0.0.36,none,srv4,srv4,none,success,43.01,,True
baseline,11.072,iot33,10.0.0.33,none,srv1,srv1,grayhole,success,54.19,,True
baseline,11.073,iot27,10.0.0.27,none,srv3,srv3,sybil,success,47.49,,True
baseline,11.074,iot23,10.0.0.23,none,srv7,srv7,none,success,58.33,,True
baseline,11.078,iot4,10.0.0.4,none,srv4,srv4,none,success,65.52,,True
baseline,11.079,iot13,10.0.0.13,none,srv5,srv5,none,success,63.86,,True
baseline,11.087,iot32,10.0.0.32,none,srv8,srv8,onoff,success,56.05,,True
baseline,11.099,iot3,10.0.0.3,none,srv3,srv3,sybil,success,72.29,,True
baseline,11.119,iot1,10.0.0.1,none,srv1,srv1,grayhole,success,66.27,,True
baseline,11.136,iot15,10.0.0.15,none,srv7,srv7,none,success,62.73,,True
baseline,11.179,iot19,10.0.0.19,none,srv3,srv3,sybil,success,54.58,,True
baseline,11.18,iot25,10.0.0.25,none,srv1,srv1,grayhole,success,54.51,,True
baseline,11.206,iot6,10.0.0.6,none,srv6,srv6,drop,success,66.29,,True
baseline,11.21,iot11,10.0.0.11,none,srv3,srv3,sybil,success,65.91,,True
baseline,11.211,iot10,10.0.0.10,none,srv2,srv2,none,success,71.98,,True
baseline,11.212,iot20,10.0.0.20,none,srv4,srv4,none,success,66.58,,True
baseline,11.215,iot34,10.0.0.34,none,srv2,srv2,none,success,69.84,,True
baseline,11.226,iot31,10.0.0.31,none,srv7,srv7,none,success,64.41,,True
baseline,11.227,iot37,10.0.0.37,flood,srv5,srv5,none,success,60.96,,True
baseline,11.232,iot21,10.0.0.21,none,srv5,srv5,none,success,65.21,,True
baseline,11.234,iot40,10.0.0.40,bad_credentials,srv8,srv8,onoff,success,64.56,,True
baseline,11.251,iot17,10.0.0.17,none,srv1,srv1,grayhole,success,75.08,,True
baseline,11.268,iot22,10.0.0.22,none,srv6,srv6,drop,success,69.31,,True
baseline,11.283,iot39,10.0.0.39,bad_credentials,srv7,srv7,none,success,66.82,,True
baseline,12.884,iot5,10.0.0.5,none,srv5,srv5,none,success,39.24,,True
baseline,12.903,iot14,10.0.0.14,none,srv6,srv6,drop,success,34.15,,True
baseline,12.936,iot8,10.0.0.8,none,srv8,srv8,onoff,success,30.4,,True
baseline,12.956,iot12,10.0.0.12,none,srv4,srv4,none,success,30.77,,True
baseline,12.966,iot18,10.0.0.18,none,srv2,srv2,none,success,30.36,,True
baseline,12.982,iot28,10.0.0.28,none,srv4,srv4,none,success,30.51,,True
baseline,12.983,iot35,10.0.0.35,none,srv3,srv3,sybil,success,30.91,,True
baseline,13.089,iot2,10.0.0.2,none,srv2,srv2,none,success,121.96,,True
baseline,13.092,iot24,10.0.0.24,none,srv8,srv8,onoff,success,71.25,,True
baseline,13.094,iot30,10.0.0.30,none,srv6,srv6,drop,success,64.16,,True
baseline,13.099,iot16,10.0.0.16,none,srv8,srv8,onoff,success,61.61,,True
baseline,13.1,iot26,10.0.0.26,none,srv2,srv2,none,success,70.19,,True
baseline,13.1,iot7,10.0.0.7,none,srv7,srv7,none,success,67.33,,True
baseline,13.151,iot36,10.0.0.36,none,srv4,srv4,none,success,42.12,,True
baseline,13.152,iot29,10.0.0.29,none,srv5,srv5,none,success,41.62,,True
baseline,13.164,iot27,10.0.0.27,none,srv3,srv3,sybil,success,47.75,,True
baseline,13.168,iot33,10.0.0.33,none,srv1,srv1,grayhole,success,52.47,,True
baseline,13.171,iot9,10.0.0.9,none,srv1,srv1,grayhole,success,58.76,,True
baseline,13.176,iot23,10.0.0.23,none,srv7,srv7,none,success,51.14,,True
baseline,13.185,iot32,10.0.0.32,none,srv8,srv8,onoff,success,46.8,,True
baseline,13.197,iot13,10.0.0.13,none,srv5,srv5,none,success,61.99,,True
baseline,13.201,iot4,10.0.0.4,none,srv4,srv4,none,success,61.4,,True
baseline,13.216,iot3,10.0.0.3,none,srv3,srv3,sybil,success,57.91,,True
baseline,13.247,iot1,10.0.0.1,none,srv1,srv1,grayhole,success,65.63,,True
baseline,13.256,iot15,10.0.0.15,none,srv7,srv7,none,success,61.96,,True
baseline,13.287,iot19,10.0.0.19,none,srv3,srv3,sybil,success,54.72,,True
baseline,13.288,iot25,10.0.0.25,none,srv1,srv1,grayhole,success,53.73,,True
baseline,13.333,iot6,10.0.0.6,none,srv6,srv6,drop,success,66.94,,True
baseline,13.336,iot20,10.0.0.20,none,srv4,srv4,none,success,63.09,,True
baseline,13.337,iot11,10.0.0.11,none,srv3,srv3,sybil,success,67.01,,True
baseline,13.34,iot34,10.0.0.34,none,srv2,srv2,none,success,57.83,,True
baseline,13.34,iot37,10.0.0.37,flood,srv5,srv5,none,success,73.23,,True
baseline,13.341,iot10,10.0.0.10,none,srv2,srv2,none,success,74.05,,True
baseline,13.347,iot31,10.0.0.31,none,srv7,srv7,none,success,67.48,,True
baseline,13.35,iot21,10.0.0.21,none,srv5,srv5,none,success,64.97,,True
baseline,13.356,iot40,10.0.0.40,bad_credentials,srv8,srv8,onoff,success,62.51,,True
baseline,13.385,iot17,10.0.0.17,none,srv1,srv1,grayhole,success,71.89,,True
baseline,13.399,iot22,10.0.0.22,none,srv6,srv6,drop,success,66.09,,True
baseline,13.412,iot39,10.0.0.39,bad_credentials,srv7,srv7,none,success,66.53,,True
baseline,14.958,iot5,10.0.0.5,none,srv5,srv5,none,success,40.47,,True
baseline,14.97,iot14,10.0.0.14,none,srv6,srv6,drop,success,36.45,,True
baseline,14.992,iot8,10.0.0.8,none,srv8,srv8,onoff,success,32.74,,True
baseline,15.014,iot12,10.0.0.12,none,srv4,srv4,none,success,32.17,,True
baseline,15.022,iot18,10.0.0.18,none,srv2,srv2,none,success,31.71,,True
baseline,15.106,iot28,10.0.0.28,none,srv4,srv4,none,success,32.11,,True
baseline,15.11,iot35,10.0.0.35,none,srv3,srv3,sybil,success,31.85,,True
baseline,15.171,iot30,10.0.0.30,none,srv6,srv6,drop,success,39.95,,True
baseline,15.173,iot26,10.0.0.26,none,srv2,srv2,none,success,39.21,,True
baseline,15.184,iot24,10.0.0.24,none,srv8,srv8,onoff,success,55.49,,True
baseline,15.19,iot16,10.0.0.16,none,srv8,srv8,onoff,success,51.37,,True
baseline,15.193,iot2,10.0.0.2,none,srv2,srv2,none,success,47.11,,True
baseline,15.198,iot7,10.0.0.7,none,srv7,srv7,none,success,52.24,,True
baseline,15.233,iot29,10.0.0.29,none,srv5,srv5,none,success,45.35,,True
baseline,15.234,iot36,10.0.0.36,none,srv4,srv4,none,success,44.73,,True
baseline,15.254,iot27,10.0.0.27,none,srv3,srv3,sybil,success,50.5,,True
baseline,15.266,iot33,10.0.0.33,none,srv1,srv1,grayhole,success,52.45,,True
baseline,15.274,iot23,10.0.0.23,none,srv7,srv7,none,success,51.27,,True
baseline,15.275,iot32,10.0.0.32,none,srv8,srv8,onoff,success,48.15,,True
baseline,15.28,iot9,10.0.0.9,none,srv1,srv1,grayhole,success,56.27,,True
baseline,15.314,iot13,10.0.0.13,none,srv5,srv5,none,success,60.13,,True
baseline,15.315,iot4,10.0.0.4,none,srv4,srv4,none,success,60.45,,True
baseline,15.329,iot3,10.0.0.3,none,srv3,srv3,sybil,success,59.77,,True
baseline,15.377,iot1,10.0.0.1,none,srv1,srv1,grayhole,success,68.23,,True
baseline,15.378,iot15,10.0.0.15,none,srv7,srv7,none,success,64.07,,True
baseline,15.393,iot19,10.0.0.19,none,srv3,srv3,sybil,success,55.45,,True
baseline,15.395,iot25,10.0.0.25,none,srv1,srv1,grayhole,success,58.94,,True
baseline,15.453,iot34,10.0.0.34,none,srv2,srv2,none,success,63.58,,True
baseline,15.458,iot20,10.0.0.20,none,srv4,srv4,none,success,66.48,,True
baseline,15.463,iot6,10.0.0.6,none,srv6,srv6,drop,success,68.91,,True
baseline,15.467,iot11,10.0.0.11,none,srv3,srv3,sybil,success,71.9,,True
baseline,15.468,iot37,10.0.0.37,flood,srv5,srv5,none,success,61.05,,True
baseline,15.469,iot21,10.0.0.21,none,srv5,srv5,none,success,66.48,,True
baseline,15.473,iot31,10.0.0.31,none,srv7,srv7,none,success,63.8,,True
baseline,15.474,iot10,10.0.0.10,none,srv2,srv2,none,success,65.5,,True
baseline,15.478,iot40,10.0.0.40,bad_credentials,srv8,srv8,onoff,success,64.41,,True
baseline,15.525,iot17,10.0.0.17,none,srv1,srv1,grayhole,success,71.93,,True
baseline,15.528,iot22,10.0.0.22,none,srv6,srv6,drop,success,67.21,,True
baseline,15.541,iot39,10.0.0.39,bad_credentials,srv7,srv7,none,success,67.34,,True
baseline,17.092,iot5,10.0.0.5,none,srv5,srv5,none,success,111.58,,True
baseline,17.097,iot14,10.0.0.14,none,srv6,srv6,drop,success,102.09,,True
baseline,17.104,iot18,10.0.0.18,none,srv2,srv2,none,success,47.91,,True
baseline,17.105,iot12,10.0.0.12,none,srv4,srv4,none,success,48.33,,True
baseline,17.106,iot8,10.0.0.8,none,srv8,srv8,onoff,success,49.8,,True
baseline,17.166,iot28,10.0.0.28,none,srv4,srv4,none,success,37.14,,True
baseline,17.168,iot35,10.0.0.35,none,srv3,srv3,sybil,success,32.43,,True
baseline,17.248,iot30,10.0.0.30,none,srv6,srv6,drop,success,43.69,,True
baseline,17.253,iot26,10.0.0.26,none,srv2,srv2,none,success,44.8,,True
baseline,17.279,iot2,10.0.0.2,none,srv2,srv2,none,success,42.51,,True
baseline,17.282,iot24,10.0.0.24,none,srv8,srv8,onoff,success,47.73,,True
baseline,17.283,iot16,10.0.0.16,none,srv8,srv8,onoff,success,56.86,,True
baseline,17.296,iot7,10.0.0.7,none,srv7,srv7,none,success,50.65,,True
baseline,17.318,iot36,10.0.0.36,none,srv4,srv4,none,success,42.53,,True
baseline,17.319,iot29,10.0.0.29,none,srv5,srv5,none,success,42.21,,True
baseline,17.349,iot27,10.0.0.27,none,srv3,srv3,sybil,success,46.58,,True
baseline,17.359,iot33,10.0.0.33,none,srv1,srv1,grayhole,success,46.76,,True
baseline,17.365,iot32,10.0.0.32,none,srv8,srv8,onoff,success,45.81,,True
baseline,17.372,iot23,10.0.0.23,none,srv7,srv7,none,success,50.47,,True
baseline,17.387,iot9,10.0.0.9,none,srv1,srv1,grayhole,success,54.48,,True
baseline,17.429,iot13,10.0.0.13,none,srv5,srv5,none,success,58.43,,True
baseline,17.43,iot4,10.0.0.4,none,srv4,srv4,none,success,58.38,,True
baseline,17.443,iot3,10.0.0.3,none,srv3,srv3,sybil,success,58.18,,True
baseline,17.501,iot19,10.0.0.19,none,srv3,srv3,sybil,success,55.02,,True
baseline,17.501,iot15,10.0.0.15,none,srv7,srv7,none,success,63.95,,True
baseline,17.504,iot25,10.0.0.25,none,srv1,srv1,grayhole,success,69.4,,True
baseline,17.507,iot1,10.0.0.1,none,srv1,srv1,grayhole,success,72.62,,True
baseline,17.571,iot34,10.0.0.34,none,srv2,srv2,none,success,58.77,,True
baseline,17.583,iot20,10.0.0.20,none,srv4,srv4,none,success,65.36,,True
baseline,17.584,iot37,10.0.0.37,flood,srv5,srv5,none,success,74.82,,True
baseline,17.591,iot21,10.0.0.21,none,srv5,srv5,none,success,67.94,,True
baseline,17.595,iot6,10.0.0.6,none,srv6,srv6,drop,success,68.7,,True
baseline,17.596,iot31,10.0.0.31,none,srv7,srv7,none,success,63.55,,True
baseline,17.599,iot10,10.0.0.10,none,srv2,srv2,none,success,63.96,,True
baseline,17.6,iot40,10.0.0.40,bad_credentials,srv8,srv8,onoff,success,62.85,,True
baseline,17.604,iot11,10.0.0.11,none,srv3,srv3,sybil,success,72.8,,True
baseline,17.655,iot17,10.0.0.17,none,srv1,srv1,grayhole,success,66.28,,True
baseline,17.658,iot22,10.0.0.22,none,srv6,srv6,drop,success,66.58,,True
baseline,17.671,iot39,10.0.0.39,bad_credentials,srv7,srv7,none,success,66.75,,True
baseline,19.164,iot12,10.0.0.12,none,srv4,srv4,none,success,30.88,,True
baseline,19.165,iot8,10.0.0.8,none,srv8,srv8,onoff,success,31.02,,True
baseline,19.165,iot18,10.0.0.18,none,srv2,srv2,none,success,31.88,,True
baseline,19.167,iot14,10.0.0.14,none,srv6,srv6,drop,success,38.94,,True
baseline,19.179,iot5,10.0.0.5,none,srv5,srv5,none,success,42.57,,True
baseline,19.229,iot35,10.0.0.35,none,srv3,srv3,sybil,success,30.58,,True
baseline,19.234,iot28,10.0.0.28,none,srv4,srv4,none,success,30.66,,True
baseline,19.326,iot30,10.0.0.30,none,srv6,srv6,drop,success,38.63,,True
baseline,19.328,iot26,10.0.0.26,none,srv2,srv2,none,success,37.35,,True
baseline,19.36,iot2,10.0.0.2,none,srv2,srv2,none,success,42.15,,True
baseline,19.368,iot24,10.0.0.24,none,srv8,srv8,onoff,success,47.7,,True
baseline,19.377,iot16,10.0.0.16,none,srv8,srv8,onoff,success,47.88,,True
baseline,19.393,iot7,10.0.0.7,none,srv7,srv7,none,success,50.36,,True
baseline,19.398,iot36,10.0.0.36,none,srv4,srv4,none,success,42.15,,True
baseline,19.399,iot29,10.0.0.29,none,srv5,srv5,none,success,42.61,,True
baseline,19.437,iot27,10.0.0.27,none,srv3,srv3,sybil,success,46.52,,True
baseline,19.448,iot33,10.0.0.33,none,srv1,srv1,grayhole,success,46.49,,True
baseline,19.453,iot32,10.0.0.32,none,srv8,srv8,onoff,success,46.03,,True
baseline,19.468,iot23,10.0.0.23,none,srv7,srv7,none,success,50.16,,True
baseline,19.49,iot9,10.0.0.9,none,srv1,srv1,grayhole,success,53.81,,True
baseline,19.541,iot13,10.0.0.13,none,srv5,srv5,none,success,58.73,,True
baseline,19.542,iot4,10.0.0.4,none,srv4,srv4,none,success,58.17,,True
baseline,19.555,iot3,10.0.0.3,none,srv3,srv3,sybil,success,58.49,,True
baseline,19.59,iot38,10.0.0.38,spoof,srv6,srv6,drop,success,51.35,,True
baseline,19.606,iot19,10.0.0.19,none,srv3,srv3,sybil,success,54.25,,True
baseline,19.623,iot15,10.0.0.15,none,srv7,srv7,none,success,62.23,,True
baseline,19.624,iot25,10.0.0.25,none,srv1,srv1,grayhole,success,54.06,,True
baseline,19.645,iot1,10.0.0.1,none,srv1,srv1,grayhole,success,66.24,,True
baseline,19.683,iot34,10.0.0.34,none,srv2,srv2,none,success,58.2,,True
baseline,19.706,iot20,10.0.0.20,none,srv4,srv4,none,success,63.69,,True
baseline,19.712,iot37,10.0.0.37,flood,srv5,srv5,none,success,67.04,,True
baseline,19.712,iot21,10.0.0.21,none,srv5,srv5,none,success,72.78,,True
baseline,19.716,iot31,10.0.0.31,none,srv7,srv7,none,success,62.02,,True
baseline,19.719,iot10,10.0.0.10,none,srv2,srv2,none,success,61.51,,True
baseline,19.72,iot40,10.0.0.40,bad_credentials,srv8,srv8,onoff,success,62.01,,True
baseline,19.725,iot6,10.0.0.6,none,srv6,srv6,drop,success,69.98,,True
baseline,19.739,iot11,10.0.0.11,none,srv3,srv3,sybil,success,65.86,,True
baseline,19.784,iot17,10.0.0.17,none,srv1,srv1,grayhole,success,66.32,,True
baseline,19.785,iot22,10.0.0.22,none,srv6,srv6,drop,success,65.52,,True
baseline,19.799,iot39,10.0.0.39,bad_credentials,srv7,srv7,none,success,66.11,,True
baseline,21.22,iot12,10.0.0.12,none,srv4,srv4,none,success,31.64,,True
baseline,21.222,iot8,10.0.0.8,none,srv8,srv8,onoff,success,30.51,,True
baseline,21.223,iot18,10.0.0.18,none,srv2,srv2,none,success,30.91,,True
baseline,21.238,iot14,10.0.0.14,none,srv6,srv6,drop,success,36.17,,True
baseline,21.254,iot5,10.0.0.5,none,srv5,srv5,none,success,38.07,,True
baseline,21.285,iot35,10.0.0.35,none,srv3,srv3,sybil,success,29.74,,True
baseline,21.291,iot28,10.0.0.28,none,srv4,srv4,none,success,30.73,,True
baseline,21.398,iot30,10.0.0.30,none,srv6,srv6,drop,success,39.08,,True
baseline,21.399,iot26,10.0.0.26,none,srv2,srv2,none,success,37.89,,True
baseline,21.44,iot2,10.0.0.2,none,srv2,srv2,none,success,42.59,,True
baseline,21.453,iot24,10.0.0.24,none,srv8,srv8,onoff,success,42.94,,True
baseline,21.464,iot16,10.0.0.16,none,srv8,srv8,onoff,success,47.74,,True
baseline,21.478,iot36,10.0.0.36,none,srv4,srv4,none,success,42.93,,True
baseline,21.479,iot29,10.0.0.29,none,srv5,srv5,none,success,42.88,,True
baseline,21.489,iot7,10.0.0.7,none,srv7,srv7,none,success,51.5,,True
baseline,21.525,iot27,10.0.0.27,none,srv3,srv3,sybil,success,46.56,,True
