arm,device,client_ip,client_role,node,server_role,attack_start_s,routes,resteers,pairs,successes,timeouts,failures,abandoned,mean_latency_ms,p95_latency_ms
baseline,iot23,10.0.0.23,none,srv7,none,0.0,144,0,144,144,0,0,0,54.33486111111111,62.8945
baseline,iot24,10.0.0.24,none,srv8,onoff,50.0,140,0,140,140,0,0,0,117.81528571428571,336.36899999999997
baseline,iot25,10.0.0.25,none,srv1,grayhole,40.0,87,0,87,57,30,0,0,1426.6188505747125,4026.652
baseline,iot26,10.0.0.26,none,srv2,none,0.0,145,0,145,145,0,0,0,42.25572413793103,64.17599999999972
baseline,iot27,10.0.0.27,none,srv3,sybil,20.0,133,0,133,133,0,0,0,226.63676691729322,462.85799999999995
baseline,iot28,10.0.0.28,none,srv4,none,0.0,146,0,146,146,0,0,0,33.03178082191781,41.4275
baseline,iot29,10.0.0.29,none,srv5,none,0.0,145,0,145,145,0,0,0,48.01496551724138,62.98
baseline,iot30,10.0.0.30,none,srv6,drop,30.0,59,0,59,14,45,0,0,3075.510508474576,4022.535
baseline,iot31,10.0.0.31,none,srv7,none,0.0,142,0,142,142,0,0,0,65.05922535211268,69.9045
baseline,iot32,10.0.0.32,none,srv8,onoff,50.0,138,0,138,138,0,0,0,137.1386231884058,414.89300000000037
baseline,iot33,10.0.0.33,none,srv1,grayhole,40.0,84,0,83,51,32,0,1,1582.1285542168675,4024.737
baseline,iot34,10.0.0.34,none,srv2,none,0.0,143,0,142,142,0,0,1,63.877183098591544,85.26899999999986
baseline,iot35,10.0.0.35,none,srv3,sybil,20.0,135,0,135,134,0,1,0,213.23985185185185,483.20099999999985
baseline,iot36,10.0.0.36,none,srv4,none,0.0,145,0,145,145,0,0,0,46.322758620689655,55.219999999999935
baseline,iot37,10.0.0.37,flood,srv5,none,0.0,1970,0,1970,1970,0,0,0,65.474730964467,82.94749999999999
baseline,iot38,10.0.0.38,spoof,srv6,drop,30.0,52,0,52,7,45,0,0,3484.2025,4024.6659999999997
baseline,iot39,10.0.0.39,bad_credentials,srv7,none,0.0,141,0,141,141,0,0,0,69.99056737588653,77.32
baseline,iot40,10.0.0.40,bad_credentials,srv8,onoff,50.0,138,0,138,138,0,0,0,130.44427536231885,324.48600000000005
zero_trust,iot1,10.0.0.1,none,srv1,grayhole,40.0,3,0,3,3,0,0,0,30.25,31.544999999999998
zero_trust,iot1,10.0.0.1,none,srv2,none,0.0,38,0,38,38,0,0,0,77.01868421052632,92.09999999999997
zero_trust,iot1,10.0.0.1,none,srv3,sybil,20.0,3,0,3,3,0,0,0,103.00333333333333,155.64399999999998
zero_trust,iot1,10.0.0.1,none,srv4,none,0.0,27,0,27,27,0,0,0,77.79740740740742,101.15599999999999
zero_trust,iot1,10.0.0.1,none,srv5,none,0.0,36,0,36,36,0,0,0,77.38416666666666,100.3775
zero_trust,iot1,10.0.0.1,none,srv6,drop,30.0,3,0,2,2,0,0,1,86.795,101.54150000000001
zero_trust,iot1,10.0.0.1,none,srv7,none,0.0,27,0,27,27,0,0,0,75.79666666666667,92.468
zero_trust,iot1,10.0.0.1,none,srv8,onoff,50.0,5,0,5,5,0,0,0,81.25,109.29999999999998
zero_trust,iot2,10.0.0.2,none,srv1,grayhole,40.0,7,0,4,3,1,0,3,1084.35,3453.5969999999984
zero_trust,iot2,10.0.0.2,none,srv2,none,0.0,26,0,26,26,0,0,0,55.39269230769231,66.6475
zero_trust,iot2,10.0.0.2,none,srv3,sybil,20.0,1,0,1,1,0,0,0,129.29,129.29
zero_trust,iot2,10.0.0.2,none,srv4,none,0.0,22,0,22,22,0,0,0,100.26545454545455,142.632
zero_trust,iot2,10.0.0.2,none,srv5,none,0.0,32,0,32,32,0,0,0,94.0825,115.60499999999999
zero_trust,iot2,10.0.0.2,none,srv6,drop,30.0,4,0,2,2,0,0,2,139.985,172.8665
zero_trust,iot2,10.0.0.2,none,srv7,none,0.0,26,0,26,26,0,0,0,99.20961538461538,151.21
zero_trust,iot2,10.0.0.2,none,srv8,onoff,50.0,13,0,13,13,0,0,0,91.35230769230769,108.72799999999995
zero_trust,iot3,10.0.0.3,none,srv1,grayhole,40.0,4,0,4,4,0,0,0,105.5375,131.719
zero_trust,iot3,10.0.0.3,none,srv2,none,0.0,37,0,37,37,0,0,0,101.00567567567568,116.67399999999985
zero_trust,iot3,10.0.0.3,none,srv3,sybil,20.0,1,0,1,1,0,0,0,67.78,67.78
zero_trust,iot3,10.0.0.3,none,srv4,none,0.0,25,0,25,25,0,0,0,100.6172,115.98399999999998
zero_trust,iot3,10.0.0.3,none,srv5,none,0.0,35,0,35,35,0,0,0,115.30542857142858,140.9849999999997
zero_trust,iot3,10.0.0.3,none,srv6,drop,30.0,3,0,3,2,1,0,0,1426.11,3652.4919999999997
zero_trust,iot3,10.0.0.3,none,srv7,none,0.0,22,0,21,21,0,0,1,107.17809523809522,152.69
zero_trust,iot3,10.0.0.3,none,srv8,onoff,50.0,12,0,12,12,0,0,0,101.46583333333332,124.57799999999999
zero_trust,iot4,10.0.0.4,none,srv1,grayhole,40.0,7,0,7,7,0,0,0,81.2757142857143,106.06899999999997
zero_trust,iot4,10.0.0.4,none,srv2,none,0.0,26,0,26,26,0,0,0,86.71653846153846,168.11
zero_trust,iot4,10.0.0.4,none,srv3,sybil,20.0,2,0,2,2,0,0,0,89.13499999999999,103.10749999999999
zero_trust,iot4,10.0.0.4,none,srv4,none,0.0,28,0,28,28,0,0,0,35.840357142857144,41.2905
zero_trust,iot4,10.0.0.4,none,srv5,none,0.0,44,0,44,44,0,0,0,80.16681818181819,89.31200000000001
zero_trust,iot4,10.0.0.4,none,srv7,none,0.0,24,0,24,24,0,0,0,78.1825,87.30099999999999
zero_trust,iot4,10.0.0.4,none,srv8,onoff,50.0,12,0,12,12,0,0,0,122.54416666666667,329.5305
zero_trust,iot5,10.0.0.5,none,srv1,grayhole,40.0,5,0,4,3,1,0,1,1108.8,3505.4589999999985
zero_trust,iot5,10.0.0.5,none,srv2,none,0.0,30,0,30,30,0,0,0,100.916,119.72199999999997
zero_trust,iot5,10.0.0.5,none,srv4,none,0.0,19,0,19,19,0,0,0,104.69052631578948,146.66099999999997
zero_trust,iot5,10.0.0.5,none,srv5,none,0.0,34,0,34,34,0,0,0,58.53264705882353,68.64449999999998
zero_trust,iot5,10.0.0.5,none,srv6,drop,30.0,3,0,2,2,0,0,1,119.11500000000001,140.8095
zero_trust,iot5,10.0.0.5,none,srv7,none,0.0,32,0,32,32,0,0,0,103.075625,128.43249999999998
zero_trust,iot5,10.0.0.5,none,srv8,onoff,50.0,12,0,12,12,0,0,0,136.33916666666667,264.27299999999997
zero_trust,iot6,10.0.0.6,none,srv1,grayhole,40.0,3,0,2,2,0,0,0,124.66499999999999,169.5165
zero_trust,iot6,10.0.0.6,none,srv2,none,0.0,23,0,23,23,0,0,0,80.2104347826087,92.864
zero_trust,iot6,10.0.0.6,none,srv3,sybil,20.0,3,0,3,3,0,0,0,126.76666666666667,175.29399999999998
zero_trust,iot6,10.0.0.6,none,srv4,none,0.0,28,1,29,28,1,0,0,215.50724137931036,103.02399999999997
zero_trust,iot6,10.0.0.6,none,srv5,none,0.0,39,0,39,39,0,0,0,80.28999999999999,89.35100000000003
zero_trust,iot6,10.0.0.6,none,srv6,drop,30.0,2,0,1,0,1,0,1,4015.22,4015.22
zero_trust,iot6,10.0.0.6,none,srv7,none,0.0,29,0,29,29,0,0,0,80.3996551724138,100.41999999999996
zero_trust,iot6,10.0.0.6,none,srv8,onoff,50.0,10,0,10,10,0,0,0,105.33,170.1805
zero_trust,iot7,10.0.0.7,none,srv1,grayhole,40.0,3,0,2,2,0,0,1,100.485,118.12049999999999
zero_trust,iot7,10.0.0.7,none,srv2,none,0.0,40,0,40,40,0,0,0,83.681,93.07549999999992
zero_trust,iot7,10.0.0.7,none,srv4,none,0.0,26,0,26,26,0,0,0,86.87230769230769,113.07499999999999
zero_trust,iot7,10.0.0.7,none,srv5,none,0.0,30,0,30,30,0,0,0,87.75,109.82699999999996
zero_trust,iot7,10.0.0.7,none,srv6,drop,30.0,3,0,1,1,0,0,2,119.69,119.69
zero_trust,iot7,10.0.0.7,none,srv7,none,0.0,28,0,28,28,0,0,0,41.980714285714285,53.467
zero_trust,iot7,10.0.0.7,none,srv8,onoff,50.0,7,0,7,7,0,0,0,156.6342857142857,438.09699999999964
zero_trust,iot8,10.0.0.8,none,srv1,grayhole,40.0,3,0,2,2,0,0,0,135.47,153.00199999999998
zero_trust,iot8,10.0.0.8,none,srv2,none,0.0,24,0,24,24,0,0,0,104.77791666666667,133.35099999999994
zero_trust,iot8,10.0.0.8,none,srv3,sybil,20.0,2,0,2,2,0,0,0,141.515,142.1855
zero_trust,iot8,10.0.0.8,none,srv4,none,0.0,19,0,19,19,0,0,0,109.67631578947368,173.62999999999997
zero_trust,iot8,10.0.0.8,none,srv5,none,0.0,36,0,36,36,0,0,0,98.70444444444445,106.5275
zero_trust,iot8,10.0.0.8,none,srv6,drop,30.0,1,0,0,0,0,0,1,,
zero_trust,iot8,10.0.0.8,none,srv7,none,0.0,37,1,37,37,0,0,1,106.15810810810811,179.5879999999998
zero_trust,iot8,10.0.0.8,none,srv8,onoff,50.0,14,0,14,14,0,0,0,98.59285714285714,331.75199999999995
zero_trust,iot9,10.0.0.9,none,srv1,grayhole,40.0,8,0,8,8,0,0,0,46.00125,58.535
zero_trust,iot9,10.0.0.9,none,srv2,none,0.0,23,0,23,23,0,0,0,87.76217391304348,115.87599999999996
zero_trust,iot9,10.0.0.9,none,srv3,sybil,20.0,1,0,1,1,0,0,0,180.01,180.01
zero_trust,iot9,10.0.0.9,none,srv4,none,0.0,34,0,34,34,0,0,0,88.16823529411764,110.60849999999996
zero_trust,iot9,10.0.0.9,none,srv5,none,0.0,40,0,40,40,0,0,0,91.8495,124.55149999999999
zero_trust,iot9,10.0.0.9,none,srv6,drop,30.0,1,0,0,0,0,0,1,,
zero_trust,iot9,10.0.0.9,none,srv7,none,0.0,24,0,24,24,0,0,0,89.34458333333333,115.79899999999995
zero_trust,iot9,10.0.0.9,none,srv8,onoff,50.0,9,0,9,9,0,0,0,129.19666666666666,276.2819999999999
zero_trust,iot10,10.0.0.10,none,srv1,grayhole,40.0,3,0,2,2,0,0,1,121.715,142.2125
zero_trust,iot10,10.0.0.10,none,srv2,none,0.0,27,1,28,27,1,0,0,219.45071428571427,176.77899999999994
zero_trust,iot10,10.0.0.10,none,srv3,sybil,20.0,1,0,1,1,0,0,0,282.85,282.85
zero_trust,iot10,10.0.0.10,none,srv4,none,0.0,26,0,26,26,0,0,0,113.49730769230769,191.96249999999998
zero_trust,iot10,10.0.0.10,none,srv5,none,0.0,36,0,36,36,0,0,0,104.14888888888889,122.8125
zero_trust,iot10,10.0.0.10,none,srv6,drop,30.0,2,0,1,1,0,0,0,147.53,147.53
zero_trust,iot10,10.0.0.10,none,srv7,none,0.0,30,0,30,30,0,0,0,106.208,138.0969999999999
zero_trust,iot10,10.0.0.10,none,srv8,onoff,50.0,11,0,11,11,0,0,0,140.07090909090908,256.96000000000004
zero_trust,iot11,10.0.0.11,none,srv1,grayhole,40.0,2,0,1,1,0,0,0,104.27,104.27
zero_trust,iot11,10.0.0.11,none,srv2,none,0.0,28,0,28,28,0,0,0,80.35357142857143,132.13299999999995
zero_trust,iot11,10.0.0.11,none,srv3,sybil,20.0,2,0,2,2,0,0,0,33.06,35.849999999999994
zero_trust,iot11,10.0.0.11,none,srv4,none,0.0,27,0,27,27,0,0,0,73.7825925925926,82.259
zero_trust,iot11,10.0.0.11,none,srv5,none,0.0,38,0,38,38,0,0,0,74.10921052631579,89.109
zero_trust,iot11,10.0.0.11,none,srv6,drop,30.0,1,0,0,0,0,0,1,,
zero_trust,iot11,10.0.0.11,none,srv7,none,0.0,34,1,35,34,1,0,0,191.9782857142857,120.85299999999994
zero_trust,iot11,10.0.0.11,none,srv8,onoff,50.0,8,0,8,8,0,0,0,83.245,125.571
zero_trust,iot12,10.0.0.12,none,srv1,grayhole,40.0,7,0,6,5,1,0,1,768.8883333333333,3076.8125
zero_trust,iot12,10.0.0.12,none,srv2,none,0.0,28,0,28,28,0,0,0,108.00428571428571,144.74549999999994
zero_trust,iot12,10.0.0.12,none,srv4,none,0.0,27,0,27,27,0,0,0,67.31481481481481,80.45899999999999
zero_trust,iot12,10.0.0.12,none,srv5,none,0.0,32,0,32,32,0,0,0,105.60875,123.321
zero_trust,iot12,10.0.0.12,none,srv6,drop,30.0,2,0,1,1,0,0,1,146.71,146.71
zero_trust,iot12,10.0.0.12,none,srv7,none,0.0,31,0,31,31,0,0,0,108.4,145.98000000000002
zero_trust,iot12,10.0.0.12,none,srv8,onoff,50.0,8,0,8,8,0,0,0,120.81625,187.43049999999997
zero_trust,iot13,10.0.0.13,none,srv1,grayhole,40.0,5,0,4,3,1,0,1,1104.415,3463.1339999999987
zero_trust,iot13,10.0.0.13,none,srv2,none,0.0,24,0,24,24,0,0,0,112.88333333333333,133.43449999999999
zero_trust,iot13,10.0.0.13,none,srv3,sybil,20.0,1,0,1,1,0,0,0,153.93,153.93
zero_trust,iot13,10.0.0.13,none,srv4,none,0.0,25,0,25,25,0,0,0,114.0368,146.31399999999994
zero_trust,iot13,10.0.0.13,none,srv5,none,0.0,35,0,35,35,0,0,0,68.48571428571428,69.174
zero_trust,iot13,10.0.0.13,none,srv6,drop,30.0,3,0,2,2,0,0,1,131.76,158.121
zero_trust,iot13,10.0.0.13,none,srv7,none,0.0,26,0,26,26,0,0,0,108.26923076923077,116.9
zero_trust,iot13,10.0.0.13,none,srv8,onoff,50.0,15,0,15,15,0,0,0,110.79266666666668,135.69999999999996
zero_trust,iot14,10.0.0.14,none,srv1,grayhole,40.0,3,0,2,2,0,0,1,108.04499999999999,126.09449999999998
zero_trust,iot14,10.0.0.14,none,srv2,none,0.0,22,0,22,22,0,0,0,94.45045454545453,110.21749999999999
zero_trust,iot14,10.0.0.14,none,srv4,none,0.0,37,0,37,37,0,0,0,99.76648648648649,130.9079999999999
zero_trust,iot14,10.0.0.14,none,srv5,none,0.0,35,0,35,35,0,0,0,92.74257142857144,111.77999999999994
zero_trust,iot14,10.0.0.14,none,srv6,drop,30.0,2,0,2,2,0,0,0,45.325,45.3655
zero_trust,iot14,10.0.0.14,none,srv7,none,0.0,30,0,30,30,0,0,0,94.19033333333333,119.98349999999996
zero_trust,iot14,10.0.0.14,none,srv8,onoff,50.0,10,0,10,10,0,0,0,101.679,151.10649999999995
zero_trust,iot15,10.0.0.15,none,srv1,grayhole,40.0,5,0,3,3,0,0,1,95.97666666666667,119.273
zero_trust,iot15,10.0.0.15,none,srv2,none,0.0,29,1,30,29,1,0,0,220.52433333333332,138.07799999999992
zero_trust,iot15,10.0.0.15,none,srv3,sybil,20.0,2,0,1,1,0,0,0,222.55,222.55
zero_trust,iot15,10.0.0.15,none,srv4,none,0.0,32,0,32,32,0,0,0,94.05125,135.62399999999994
zero_trust,iot15,10.0.0.15,none,srv5,none,0.0,30,0,30,30,0,0,0,91.83866666666667,142.41249999999994
zero_trust,iot15,10.0.0.15,none,srv6,drop,30.0,2,0,2,2,0,0,0,104.595,124.07549999999999
zero_trust,iot15,10.0.0.15,none,srv7,none,0.0,24,1,25,24,1,0,0,211.02239999999998,154.03999999999982
zero_trust,iot15,10.0.0.15,none,srv8,onoff,50.0,13,0,13,13,0,0,0,93.77,138.00399999999993
zero_trust,iot16,10.0.0.16,none,srv1,grayhole,40.0,7,0,5,4,1,0,1,886.244,3257.609999999999
zero_trust,iot16,10.0.0.16,none,srv2,none,0.0,19,0,19,19,0,0,0,89.31157894736843,111.64299999999996
zero_trust,iot16,10.0.0.16,none,srv3,sybil,20.0,2,0,2,2,0,0,0,305.05,462.97299999999996
zero_trust,iot16,10.0.0.16,none,srv4,none,0.0,33,0,33,33,0,0,0,87.2218181818182,114.82799999999997
zero_trust,iot16,10.0.0.16,none,srv5,none,0.0,32,0,32,32,0,0,0,87.7740625,109.4745
zero_trust,iot16,10.0.0.16,none,srv6,drop,30.0,3,0,2,2,0,0,1,103.925,123.85549999999999
zero_trust,iot16,10.0.0.16,none,srv7,none,0.0,23,1,24,23,1,0,0,256.2225,187.57299999999978
zero_trust,iot16,10.0.0.16,none,srv8,onoff,50.0,15,0,15,15,0,0,0,71.54666666666667,173.43999999999957
zero_trust,iot17,10.0.0.17,none,srv1,grayhole,40.0,2,0,2,1,1,0,0,2042.2749999999999,3827.4565
zero_trust,iot17,10.0.0.17,none,srv2,none,0.0,32,0,31,31,0,0,1,116.78096774193548,215.26999999999998
zero_trust,iot17,10.0.0.17,none,srv3,sybil,20.0,2,0,2,2,0,0,0,129.225,155.6085
zero_trust,iot17,10.0.0.17,none,srv4,none,0.0,36,0,36,36,0,0,0,103.53222222222222,127.3225
zero_trust,iot17,10.0.0.17,none,srv5,none,0.0,28,0,28,28,0,0,0,107.36107142857144,140.17049999999995
zero_trust,iot17,10.0.0.17,none,srv6,drop,30.0,1,0,0,0,0,0,1,,
zero_trust,iot17,10.0.0.17,none,srv7,none,0.0,31,0,31,31,0,0,0,107.6467741935484,137.29500000000002
zero_trust,iot17,10.0.0.17,none,srv8,onoff,50.0,5,0,5,5,0,0,0,111.79,149.05999999999997
zero_trust,iot18,10.0.0.18,none,srv1,grayhole,40.0,2,0,2,2,0,0,0,123.56,145.96099999999998
zero_trust,iot18,10.0.0.18,none,srv2,none,0.0,27,0,27,27,0,0,0,65.57481481481481,87.65199999999999
zero_trust,iot18,10.0.0.18,none,srv3,sybil,20.0,1,0,1,1,0,0,0,237.53,237.53
zero_trust,iot18,10.0.0.18,none,srv4,none,0.0,34,0,34,34,0,0,0,108.23676470588236,131.14699999999993
zero_trust,iot18,10.0.0.18,none,srv5,none,0.0,43,0,43,43,0,0,0,106.18023255813954,138.945
zero_trust,iot18,10.0.0.18,none,srv7,none,0.0,29,0,29,29,0,0,0,107.58793103448276,136.80399999999995
zero_trust,iot18,10.0.0.18,none,srv8,onoff,50.0,4,0,4,4,0,0,0,125.8875,150.765
zero_trust,iot19,10.0.0.19,none,srv1,grayhole,40.0,6,0,4,4,0,0,1,80.495,100.53899999999999
zero_trust,iot19,10.0.0.19,none,srv2,none,0.0,25,0,25,25,0,0,0,78.4324,90.048
zero_trust,iot19,10.0.0.19,none,srv4,none,0.0,34,0,34,34,0,0,0,80.13235294117646,98.33149999999998
zero_trust,iot19,10.0.0.19,none,srv5,none,0.0,30,0,30,30,0,0,0,76.05199999999999,94.321
zero_trust,iot19,10.0.0.19,none,srv6,drop,30.0,1,0,0,0,0,0,1,,
zero_trust,iot19,10.0.0.19,none,srv7,none,0.0,28,1,29,28,1,0,0,214.95275862068965,137.41199999999986
zero_trust,iot19,10.0.0.19,none,srv8,onoff,50.0,14,0,14,14,0,0,0,109.26285714285714,261.3075
zero_trust,iot20,10.0.0.20,none,srv1,grayhole,40.0,6,0,6,5,1,0,0,771.8716666666666,3077.0899999999997
zero_trust,iot20,10.0.0.20,none,srv2,none,0.0,34,0,34,34,0,0,0,107.56411764705882,117.932
zero_trust,iot20,10.0.0.20,none,srv3,sybil,20.0,3,0,3,3,0,0,0,181.23333333333335,233.047
zero_trust,iot20,10.0.0.20,none,srv4,none,0.0,26,0,26,26,0,0,0,66.88538461538461,74.58500000000001
zero_trust,iot20,10.0.0.20,none,srv5,none,0.0,40,0,40,40,0,0,0,106.16575,115.63099999999997
zero_trust,iot20,10.0.0.20,none,srv7,none,0.0,21,0,21,21,0,0,0,110.24285714285713,154.8
zero_trust,iot20,10.0.0.20,none,srv8,onoff,50.0,8,0,8,8,0,0,0,114.58,149.86699999999996
zero_trust,iot21,10.0.0.21,none,srv1,grayhole,40.0,4,0,3,3,0,0,0,98.38,112.953
zero_trust,iot21,10.0.0.21,none,srv2,none,0.0,36,0,36,36,0,0,0,80.16861111111112,106.66
zero_trust,iot21,10.0.0.21,none,srv3,sybil,20.0,1,0,1,1,0,0,0,143.23,143.23
zero_trust,iot21,10.0.0.21,none,srv4,none,0.0,28,0,28,28,0,0,0,82.97107142857143,115.3005
zero_trust,iot21,10.0.0.21,none,srv5,none,0.0,32,0,32,32,0,0,0,41.22,52.87649999999999
zero_trust,iot21,10.0.0.21,none,srv7,none,0.0,31,1,32,31,1,0,0,207.4390625,132.36649999999997
zero_trust,iot21,10.0.0.21,none,srv8,onoff,50.0,10,0,10,10,0,0,0,79.095,95.61899999999997
zero_trust,iot22,10.0.0.22,none,srv1,grayhole,40.0,1,0,1,1,0,0,0,178.53,178.53
zero_trust,iot22,10.0.0.22,none,srv2,none,0.0,39,1,40,39,1,0,0,220.99,210.6259999999999
zero_trust,iot22,10.0.0.22,none,srv3,sybil,20.0,1,0,1,1,0,0,0,166.86,166.86
zero_trust,iot22,10.0.0.22,none,srv4,none,0.0,26,0,26,26,0,0,0,112.74615384615385,124.47999999999999
zero_trust,iot22,10.0.0.22,none,srv5,none,0.0,40,0,40,40,0,0,0,115.64925000000001,174.1195
zero_trust,iot22,10.0.0.22,none,srv6,drop,30.0,3,0,2,2,0,0,0,73.17,75.474
zero_trust,iot22,10.0.0.22,none,srv7,none,0.0,21,0,21,21,0,0,0,113.7942857142857,158.01
zero_trust,iot22,10.0.0.22,none,srv8,onoff,50.0,6,0,6,6,0,0,0,158.73166666666665,301.29999999999995
zero_trust,iot23,10.0.0.23,none,srv1,grayhole,40.0,4,0,3,3,0,0,0,128.15666666666667,160.14499999999998
zero_trust,iot23,10.0.0.23,none,srv2,none,0.0,31,1,32,31,1,0,0,238.7346875,194.96699999999998
zero_trust,iot23,10.0.0.23,none,srv4,none,0.0,33,0,33,33,0,0,0,112.51969696969697,131.98399999999998
zero_trust,iot23,10.0.0.23,none,srv5,none,0.0,33,0,33,33,0,0,0,114.12727272727273,140.83799999999997
zero_trust,iot23,10.0.0.23,none,srv6,drop,30.0,2,0,0,0,0,0,1,,
zero_trust,iot23,10.0.0.23,none,srv7,none,0.0,23,1,24,23,1,0,0,236.505,106.47799999999992
zero_trust,iot23,10.0.0.23,none,srv8,onoff,50.0,8,0,8,8,0,0,0,190.24,401.7829999999999
zero_trust,iot24,10.0.0.24,none,srv1,grayhole,40.0,3,0,3,3,0,0,0,110.54333333333334,143.16400000000002
zero_trust,iot24,10.0.0.24,none,srv2,none,0.0,29,0,29,29,0,0,0,100.07620689655172,141.27599999999998
zero_trust,iot24,10.0.0.24,none,srv3,sybil,20.0,2,0,2,2,0,0,0,116.72,140.957
zero_trust,iot24,10.0.0.24,none,srv4,none,0.0,25,0,25,25,0,0,0,100.93719999999999,161.30599999999993
zero_trust,iot24,10.0.0.24,none,srv5,none,0.0,39,0,39,39,0,0,0,100.1474358974359,123.06300000000005
zero_trust,iot24,10.0.0.24,none,srv6,drop,30.0,4,0,1,1,0,0,3,132.05,132.05
zero_trust,iot24,10.0.0.24,none,srv7,none,0.0,25,0,25,25,0,0,0,96.59639999999999,103.794
zero_trust,iot24,10.0.0.24,none,srv8,onoff,50.0,8,0,8,8,0,0,0,59.9775,87.30999999999997
zero_trust,iot25,10.0.0.25,none,srv1,grayhole,40.0,2,0,2,1,1,0,0,2070.075,3831.9734999999996
zero_trust,iot25,10.0.0.25,none,srv2,none,0.0,26,0,26,26,0,0,0,108.80730769230769,121.6525
zero_trust,iot25,10.0.0.25,none,srv4,none,0.0,26,0,26,26,0,0,0,108.32153846153847,130.35750000000002
zero_trust,iot25,10.0.0.25,none,srv5,none,0.0,41,0,41,41,0,0,0,106.81073170731707,114.94
zero_trust,iot25,10.0.0.25,none,srv6,drop,30.0,4,0,2,2,0,0,2,131.145,154.2975
zero_trust,iot25,10.0.0.25,none,srv7,none,0.0,26,0,26,26,0,0,0,109.82653846153845,141.38
zero_trust,iot25,10.0.0.25,none,srv8,onoff,50.0,9,0,9,9,0,0,0,125.15444444444445,203.22599999999997
zero_trust,iot26,10.0.0.26,none,srv1,grayhole,40.0,3,0,2,2,0,0,0,133.4,155.117
zero_trust,iot26,10.0.0.26,none,srv2,none,0.0,38,1,39,38,1,0,0,174.20282051282052,84.687
zero_trust,iot26,10.0.0.26,none,srv4,none,0.0,26,0,26,26,0,0,0,113.70076923076923,118.72749999999999
zero_trust,iot26,10.0.0.26,none,srv5,none,0.0,26,1,27,26,1,0,0,261.517037037037,161.649
zero_trust,iot26,10.0.0.26,none,srv6,drop,30.0,2,0,0,0,0,0,1,,
zero_trust,iot26,10.0.0.26,none,srv7,none,0.0,29,0,29,29,0,0,0,112.63655172413793,125.166
zero_trust,iot26,10.0.0.26,none,srv8,onoff,50.0,10,0,10,10,0,0,0,149.369,277.88199999999983
zero_trust,iot27,10.0.0.27,none,srv1,grayhole,40.0,3,0,2,2,0,0,1,142.53,155.98499999999999
zero_trust,iot27,10.0.0.27,none,srv2,none,0.0,35,0,35,35,0,0,0,120.79171428571429,201.56099999999995
zero_trust,iot27,10.0.0.27,none,srv3,sybil,20.0,3,0,3,3,0,0,0,65.95,66.499
zero_trust,iot27,10.0.0.27,none,srv4,none,0.0,26,0,26,26,0,0,0,110.22076923076922,112.22749999999999
